"index","id","title","author","year","genre"
"0","1","10-Day Green Smoothie Cleanse","JJ Smith","2016","Non Fiction"
"1","2","11/22/63: A Novel","Stephen King","2011","Fiction"
"2","3","12 Rules for Life: An Antidote to Chaos","Jordan B. Peterson","2018","Non Fiction"
"3","4","1984 (Signet Classics)","George Orwell","2017","Fiction"
"4","5","5,000 Awesome Facts (About Everything!) (National Geographic Kids)","National Geographic Kids","2019","Non Fiction"
"5","6","A Dance with Dragons (A Song of Ice and Fire)","George R. R. Martin","2011","Fiction"
"6","7","A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons","George R. R. Martin","2014","Fiction"
"7","8","A Gentleman in Moscow: A Novel","Amor Towles","2017","Fiction"
"8","9","A Higher Loyalty: Truth, Lies, and Leadership","James Comey","2018","Non Fiction"
"9","10","A Man Called Ove: A Novel","Fredrik Backman","2016","Fiction"
"10","11","A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror","Larry Schweikart","2010","Non Fiction"
"11","12","A Stolen Life: A Memoir","Jaycee Dugard","2011","Non Fiction"
"12","13","A Wrinkle in Time (Time Quintet)","Madeleine L'Engle","2018","Fiction"
"13","14","Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment","Steve Harvey","2009","Non Fiction"
"14","15","Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns","Adult Coloring Book Designs","2016","Non Fiction"
"15","16","Adult Coloring Book: Stress Relieving Animal Designs","Blue Star Coloring","2015","Non Fiction"
"16","17","Adult Coloring Book: Stress Relieving Patterns","Blue Star Coloring","2015","Non Fiction"
"17","18","Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley…","Coloring Books for Adults","2015","Non Fiction"
"18","19","Alexander Hamilton","Ron Chernow","2016","Non Fiction"
"19","20","All the Light We Cannot See","Anthony Doerr","2014","Fiction"
