"index","id","team_api_id","team_long_name","team_short_name"
"0","1","9987","KRC Genk","GEN"
"1","2","9993","Beerschot AC","BAC"
"2","3","10000","SV Zulte-Waregem","ZUL"
"3","4","9994","Sporting Lokeren","LOK"
"4","5","9984","KSV Cercle Brugge","CEB"
"5","6","8635","RSC Anderlecht","AND"
"6","7","9991","KAA Gent","GEN"
"7","8","9998","RAEC Mons","MON"
"8","9","7947","FCV Dender EH","DEN"
"9","10","9985","Standard de Liège","STL"
"10","11","8203","KV Mechelen","MEC"
"11","12","8342","Club Brugge KV","CLB"
"12","13","9999","KSV Roeselare","ROS"
"13","14","8571","KV Kortrijk","KOR"
"14","15","4049","Tubize","TUB"
"15","16","9996","Royal Excel Mouscron","MOU"
"16","17","10001","KVC Westerlo","WES"
"17","18","9986","Sporting Charleroi","CHA"
"18","614","9997","Sint-Truidense VV","STT"
"19","1034","9989","Lierse SK","LIE"
"20","1042","6351","KAS Eupen","EUP"
"21","1513","1773","Oud-Heverlee Leuven","O-H"
"22","2004","8475","Waasland-Beveren","WAA"
"23","2476","8573","KV Oostende","OOS"
"24","2510","274581","Royal Excel Mouscron","MOP"
"25","3457","10260","Manchester United","MUN"
"26","3458","10261","Newcastle United","NEW"
"27","3459","9825","Arsenal","ARS"
"28","3460","8659","West Bromwich Albion","WBA"
"29","3461","8472","Sunderland","SUN"
"30","3462","8650","Liverpool","LIV"
"31","3463","8654","West Ham United","WHU"
"32","3464","8528","Wigan Athletic","WIG"
"33","3465","10252","Aston Villa","AVL"
"34","3466","8456","Manchester City","MCI"
"35","3467","8668","Everton","EVE"
"36","3468","8655","Blackburn Rovers","BLB"
"37","3469","8549","Middlesbrough","MID"
"38","3470","8586","Tottenham Hotspur","TOT"
"39","3471","8559","Bolton Wanderers","BOL"
"40","3472","10194","Stoke City","STK"
"41","3473","8667","Hull City","HUL"
"42","3474","9879","Fulham","FUL"
"43","3475","8455","Chelsea","CHE"
"44","3476","8462","Portsmouth","POR"
"45","4218","8658","Birmingham City","BIR"
"46","4225","8602","Wolverhampton Wanderers","WOL"
"47","4234","8191","Burnley","BUR"
"48","4996","8483","Blackpool","BLA"
"49","5744","10003","Swansea City","SWA"
"50","5747","10172","Queens Park Rangers","QPR"
"51","5756","9850","Norwich City","NOR"
"52","6504","8466","Southampton","SOU"
"53","6509","9798","Reading","REA"
"54","7261","9826","Crystal Palace","CRY"
"55","7276","8344","Cardiff City","CAR"
"56","8021","8197","Leicester City","LEI"
"57","8779","8678","Bournemouth","BOU"
"58","8784","9817","Watford","WAT"
"59","9537","8583","AJ Auxerre","AUX"
"60","9538","9830","FC Nantes","NAN"
"61","9539","9827","Girondins de Bordeaux","BOR"
"62","9540","7819","SM Caen","CAE"
"63","9541","9746","Le Havre AC","LEH"
"64","9542","9831","OGC Nice","NIC"
"65","9543","8682","Le Mans FC","LEM"
"66","9544","8689","FC Lorient","LOR"
"67","9545","9748","Olympique Lyonnais","LYO"
"68","9546","9941","Toulouse FC","TOU"
"69","9547","9829","AS Monaco","MON"
"70","9548","9847","Paris Saint-Germain","PSG"
"71","9549","8481","AS Nancy-Lorraine","NAN"
"72","9550","8639","LOSC Lille","LIL"
"73","9551","9851","Stade Rennais FC","REN"
"74","9552","8592","Olympique de Marseille","MAR"
"75","9553","9874","FC Sochaux-Montbéliard","SOC"
"76","9554","9855","Grenoble Foot 38","GRE"
"77","9555","9873","Valenciennes FC","VAL"
"78","9556","9853","AS Saint-Étienne","ETI"
"79","10300","8588","RC Lens","LEN"
"80","10309","10249","Montpellier Hérault SC","MON"
"81","10312","4170","US Boulogne Cote D'Opale","BOU"
"82","11074","108893","AC Arles-Avignon","ARL"
"83","11076","8521","Stade Brestois 29","BRE"
"84","11817","8576","AC Ajaccio","AJA"
"85","11822","4087","Évian Thonon Gaillard FC","ETG"
"86","11825","9836","Dijon FCO","DIJ"
"87","12587","9837","Stade de Reims","REI"
"88","12594","7794","SC Bastia","BAS"
"89","12595","10242","ES Troyes AC","TRO"
"90","13343","9747","En Avant de Guingamp","GUI"
"91","14106","8550","FC Metz","MET"
"92","14868","8121","Angers SCO","ANG"
"93","14876","6391","GFC Ajaccio","GAJ"
"94","15617","9823","FC Bayern Munich","BMU"
"95","15618","9790","Hamburger SV","HAM"
"96","15619","8178","Bayer 04 Leverkusen","LEV"
"97","15620","9789","Borussia Dortmund","DOR"
"98","15621","10189","FC Schalke 04","S04"
"99","15622","9904","Hannover 96","HAN"
"100","15623","8721","VfL Wolfsburg","WOL"
"101","15624","8722","1. FC Köln","FCK"
"102","15625","9810","Eintracht Frankfurt","EFR"
"103","15626","8177","Hertha BSC Berlin","HBE"
"104","15627","9912","DSC Arminia Bielefeld","BIE"
"105","15628","8697","SV Werder Bremen","WBR"
"106","15629","8398","FC Energie Cottbus","COT"
"107","15630","8226","TSG 1899 Hoffenheim","HOF"
"108","15631","9788","Borussia Mönchengladbach","GLA"
"109","15632","10269","VfB Stuttgart","STU"
"110","15633","8295","Karlsruher SC","KAR"
"111","15634","9911","VfL Bochum","BOC"
"112","16237","8358","SC Freiburg","FRE"
"113","16239","8165","1. FC Nürnberg","NUR"
"114","16243","9905","1. FSV Mainz 05","MAI"
"115","16848","8350","1. FC Kaiserslautern","KAI"
"116","16850","8152","FC St. Pauli","STP"
"117","17465","8406","FC Augsburg","AUG"
"118","18074","8194","Fortuna Düsseldorf","FDU"
"119","18079","8357","SpVgg Greuther Fürth","GRF"
"120","18691","9776","Eintracht Braunschweig","BRA"
"121","19305","8460","SC Paderborn 07","PAD"
"122","19916","8234","FC Ingolstadt 04","ING"
"123","19917","8262","SV Darmstadt 98","DAR"
"124","20513","8524","Atalanta","ATA"
"125","20514","8551","Siena","SIE"
"126","20515","8529","Cagliari","CAG"
"127","20516","8543","Lazio","LAZ"
"128","20517","8530","Catania","CAT"
"129","20518","10233","Genoa","GEN"
"130","20519","8533","Chievo Verona","CHI"
"131","20520","8690","Reggio Calabria","REG"
"132","20521","8535","Fiorentina","FIO"
"133","20522","9885","Juventus","JUV"
"134","20523","8564","Milan","ACM"
"135","20524","9857","Bologna","BOL"
"136","20525","8686","Roma","ROM"
"137","20526","9875","Napoli","NAP"
"138","20527","9882","Sampdoria","SAM"
"139","20528","8636","Inter","INT"
"140","20529","9804","Torino","TOR"
"141","20530","9888","Lecce","LEC"
"142","20531","8600","Udinese","UDI"
"143","20532","8540","Palermo","PAL"
"144","21280","9976","Bari","BAR"
"145","21285","8537","Livorno","LIV"
